Atharva Mandar Phatak ,BE21B009,Discord ID: atharvamandarphatak
31120,0.19,0.24
31121,0.86,0.87
31122,0.53,0.69
31123,0.16,0.18
31124,0.03,0.13
31125,0.2,0.45
31126,0.16,0.2
31127,0.26,0.2
31128,0.1,0.43
31129,0.01,0.03
31130,0.04,0.07
31131,0.8,0.89
31132,0.21,0.85
31133,0.06,0.22
31134,0.25,0.64
31135,0.11,0.63
31136,0.22,0.83
31137,0.07,0.15
31138,0.64,0.59
31139,0.45,0.62
31140,0.07,0.07
31141,0.16,0.87
31142,0.82,0.89
31143,0.28,0.58
31144,0.05,0.77
31145,0.24,0.47
31146,0.13,0.1
31147,0.12,0.62
31148,0.34,0.56
31149,0.07,0.2
31150,0.04,0.53
31151,0,0.11
31152,0.09,0.43
31153,0,0.22
31154,0.41,0.18
31155,0.87,0.97
31156,0.05,0.22
31157,0.46,0.8
31158,0.88,0.99
31159,0.07,0.14
31160,0.02,0.37
31161,0.3,0.58
31162,0.27,0.75
31163,0.28,0.36
31164,0.1,0.49
31165,0.26,0.36
31166,0.09,0.37
31167,0.07,0.28
31168,0.25,0.57
31169,0.06,0.4
31170,0.09,0.13
31171,0.13,0.36
31172,0.71,0.84
31173,0.3,0.6
31174,0.21,0.23
31175,0.07,0.17
31176,0.52,0.45
31177,0.02,0.82
31178,0.43,0.75
31179,0.27,0.81
31180,0.04,0.43
31181,0.33,0.52
31182,0.06,0.51
31183,0.26,0.37
31184,0.02,0.08
31185,0.05,0.38
31186,0.16,0.45
31187,0,0.08
31188,0.12,0.18
31189,0.13,0.36
31190,0.19,0.33
31191,0.29,0.54
31192,0.12,0.14
31193,0.01,0.31
31194,0.06,0.25
31195,0.29,0.28
31196,0.39,0.78
31197,0.02,0.34
31198,0.05,0.16
31199,0.1,0.3
31200,0.18,0.58
31201,0.04,0.11
31202,0.37,0.91
31203,0.01,0.05
31204,0.04,0.14
31205,0.04,0.97
31206,0.06,0.44
31207,0.05,0.19
31208,0.48,0.76
31209,0.3,0.56
31210,0.28,0.62
31211,0.03,0.2
31212,0.1,0.35
31213,0.06,0.19
31214,0.12,0.33
31215,0.08,0.75
31216,0.05,0.07
31217,0.11,0.74
31218,0.46,0.81
31219,0.39,0.68
31220,0.14,0.39
31221,0.2,0.48
31222,0.03,0.67
31223,0.13,0.3
31224,0.09,0.56
31225,0.08,0.13
31226,0.31,0.74
31227,0.09,0.18
31228,0.47,0.47
31229,0.4,0.78
31230,0.04,0.17
31231,0.02,0.06
31232,0.05,0.73
31233,0.48,0.56
31234,0.54,0.91
31235,0.34,0.56
31236,0.46,0.83
31237,0.15,0.38
31238,0.43,0.94
31239,0.74,0.65
31240,0.38,0.71
31241,0.14,0.38
31242,0.04,0.09
31243,0.13,0.63
31244,0.4,0.69
31245,0.34,0.36
31246,0.01,0.44
31247,0.07,0.73
31248,0.39,0.79
31249,0.08,0.15
31250,0.34,0.59
31251,0.52,0.83
31252,0.31,0.19
31253,0.2,0.95
31254,0.14,0.36
31255,0.17,0.56
31256,0.08,0.39
31257,0.11,0.49
31258,0.12,0.11
31259,0.08,0.9
31260,0.02,0.05
31261,0.07,0.15
31262,0.51,0.91
31263,0.16,0.23
31264,0.15,0.16
31265,0.36,0.46
31266,0.05,0.1
31267,0.16,0.86
31268,0.64,0.93
31269,0.18,0.36
31270,0.29,0.56
31271,0.12,0.24
31272,0.7,0.78
31273,0.35,0.47
31274,0.39,0.64
31275,0.09,0.11
31276,0.07,0.92
31277,0.14,0.17
31278,0.06,0.37
31279,0.03,0.13
31280,0.35,0.69
31281,0.11,0.06
31282,0.34,0.6
31283,0.09,0.23
31284,0.03,0.22
31285,0.05,0.94
31286,0.41,0.46
31287,0.01,0.61
31288,0.1,0.18
31289,0.14,0.66
31290,0.02,0.08
31291,0.09,0.11
31292,0.08,0.89
31293,0.13,0.58
31294,0.82,0.89
31295,0.05,0.24
31296,0.26,0.66
31297,0.12,0.95
31298,0.16,0.87
31299,0.3,0.54
31300,0.34,0.68
31301,0.62,0.7
31302,0.12,0.38
31303,0.08,0.1
31304,0.18,0.27
31305,0.37,0.6
31306,0.35,0.49
31307,0.03,0.03
31308,0.45,0.51
31309,0.05,0.41
31310,0.43,0.74
31311,0.21,0.3
31312,0.36,0.72
31313,0.17,0.25
31314,0.15,0.49
31315,0.21,0.28
31316,0.05,0.12
31317,0.05,0.05
31318,0.25,0.48
31319,0.12,0.46
31320,0.08,0.85
31321,0.2,0.19
31322,0.61,0.93
31323,0.42,0.8
31324,0.04,0.14
31325,0.23,0.5
31326,0.82,0.87
31327,0.07,0.43
31328,0.87,0.96
31329,0.02,0.6
31330,0,0.02
31331,0.13,0.48
31332,0.6,0.77
31333,0.29,0.69
31334,0.34,0.28
31335,0.15,0.18
31336,0.09,0.46
31337,0.09,0.24
31338,0.1,0.21
31339,0.16,0.8
31340,0.1,0.24
31341,0.17,0.64
31342,0.13,0.29
31343,0.08,0.31
31344,0.57,0.56
31345,0.61,0.91
31346,0.07,0.44
31347,0.3,0.55
31348,0.53,0.68
31349,0.06,0.14
31350,0.45,0.7
31351,0.06,0.72
31352,0,0.16
31353,0.13,0.24
31354,0.11,0.7
31355,0.04,0.84
31356,0.11,0.42
31357,0.44,0.46
31358,0.06,0.2
31359,0.01,0.17
31360,0.04,0.15
31361,0.19,0.56
31362,0.06,0.26
31363,0.64,0.72
31364,0.28,0.42
31365,0.51,0.56
31366,0.13,0.12
31367,0.04,0.14
31368,0.14,0.39
31369,0.42,0.65
31370,0.05,0.16
31371,0.09,0.15
31372,0.83,0.79
31373,0.05,0.43
31374,0.19,0.27
31375,0.26,0.72
31376,0.08,0.68
31377,0.82,0.98
31378,0.21,0.46
31379,0.77,0.8
31380,0.58,0.44
31381,0.2,0.24
31382,0.22,0.69
31383,0.94,0.98
31384,0.8,0.88
31385,0.32,0.75
31386,0.38,0.59
31387,0.48,0.65
31388,0.52,0.46
31389,0.1,0.72
31390,0.08,0.62
31391,0.69,0.91
31392,0.38,0.83
31393,0.25,0.08
31394,0.24,0.48
31395,0.05,0.06
31396,0.54,0.66
31397,0.1,0.21
31398,0.26,0.36
31399,0.78,0.91
31400,0.82,0.87
31401,0.05,0.68
31402,0.47,0.66
31403,0.35,0.25
31404,0.01,0.11
31405,0.02,0.6
31406,0.09,0.5
31407,0.68,0.55
31408,0.14,0.17
31409,0.02,0.16
31410,0.17,0.35
31411,0.19,0.35
31412,0.28,0.7
31413,0.29,0.12
31414,0.14,0.15
31415,0.05,0.4
31416,0.11,0.62
31417,0.48,0.76
31418,0.02,0.16
31419,0.89,0.84
31420,0.01,0.08
31421,0.05,0.25
31422,0.23,0.25
31423,0.72,0.78
31424,0.13,0.45
31425,0.13,0.36
31426,0.32,0.78
31427,0.18,0.61
31428,0.09,0.77
31429,0.14,0.71
31430,0.24,0.59
31431,0.16,0.17
31432,0.04,0.11
31433,0.7,0.9
31434,0.48,0.59
31435,0.05,0.35
31436,0.29,0.72
31437,0.55,0.73
31438,0.26,0.34
31439,0.62,0.78
31440,0.22,0.63
31441,0.46,0.64
31442,0.87,0.84
31443,0.01,0.04
31444,0.01,0.2
31445,0.23,0.27
31446,0.62,0.9
31447,0.26,0.62
31448,0.92,0.95
31449,0.06,0.17
31450,0.23,0.81
31451,0.32,0.69
31452,0.16,0.12
31453,0.15,0.29
31454,0.82,0.92
31455,0.19,0.84
31456,0.13,0.45
31457,0.28,0.35
31458,0.38,0.65
31459,0.11,0.18
31460,0.03,0.11
31461,0.14,0.43
31462,0.07,0.9
31463,0.04,0.75
31464,0.02,0.36
31465,0.83,0.98
31466,0.06,0.18
31467,0.63,0.95
31468,0.29,0.55
31469,0.41,0.57
31470,0.13,0.73
31471,0.04,0.58
31472,0.47,0.73
31473,0.76,0.95
31474,0.58,0.88
31475,0.65,0.74
31476,0.03,0.16
31477,0.28,0.31
31478,0.07,0.19
31479,0.55,0.86
31480,0.03,0.17
31481,0.15,0.6
31482,0.48,0.79
31483,0.21,0.22
31484,0.01,0.1
31485,0.05,0.1
31486,0.04,0.58
31487,0.74,0.89
31488,0.06,0.2
31489,0.66,0.78
31490,0.65,0.88
31491,0.39,0.7
31492,0.45,0.34
31493,0.04,0.12
31494,0.11,0.13
31495,0.02,0.57
31496,0.26,0.74
31497,0.02,0.13
31498,0.08,0.44
31499,0.05,0.41
31500,0.93,0.95
31501,0.04,0.51
31502,0.07,0.3
31503,0.1,0.3
31504,0.46,0.56
31505,0.63,0.9
31506,0.18,0.29
31507,0.27,0.8
31508,0.41,0.6
31509,0.1,0.92
31510,0.16,0.62
31511,0.14,0.4
31512,0.23,0.31
31513,0.29,0.42
31514,0.74,0.74
31515,0.33,0.58
31516,0.01,0.08
31517,0.28,0.47
31518,0.11,0.65
31519,0.06,0.56
31520,0.03,0.84
31521,0.17,0.9
31522,0.79,0.89
31523,0.18,0.49
31524,0.02,0.04
31525,0.6,0.82
31526,0.45,0.89
31527,0.05,0.36
31528,0.13,0.46
31529,0.23,0.46
31530,0.08,0.29
31531,0.19,0.31
31532,0.02,0.27
31533,0.79,0.79
31534,0.23,0.27
31535,0.43,0.68
31536,0.21,0.84
31537,0.06,0.13
31538,0.03,0.22
31539,0.8,0.88
31540,0.03,0.51
31541,0.01,0.4
31542,0.15,0.38
31543,0.21,0.14
31544,0.64,0.81
31545,0.03,0.5
31546,0.11,0.1
31547,0.73,0.9
31548,0.15,0.39
31549,0.11,0.92
31550,0.05,0.12
31551,0.66,0.63
31552,0.08,1
31553,0.31,0.62
31554,0.1,0.11
31555,0.47,0.63
31556,0.46,0.43
31557,0.03,0.12
31558,0.15,0.27
31559,0.25,0.68
31560,0.67,0.76
31561,0.11,0.18
31562,0.1,0.2
31563,0.05,0.16
31564,0.13,0.61
31565,0.28,0.81
31566,0.26,0.26
31567,0.09,0.3
31568,0.07,0.92
31569,0.05,0.15
31570,0.47,0.78
31571,0.11,0.49
31572,0.1,0.38
31573,0.26,0.23
31574,0.2,0.75
31575,0.27,0.49
31576,0.35,0.71
31577,0.07,0.5
31578,0.29,0.78
31579,0.05,0.18
31580,0.21,0.68
31581,0.6,0.85
31582,0.2,0.34
31583,0.08,0.71
31584,0.18,0.45
31585,0.11,0.21
31586,0,0.13
31587,0.16,0.61
31588,0.29,0.56
31589,0.11,0.16
31590,0.51,0.34
31591,0.13,0.3
31592,0.11,0.2
31593,0.09,0.41
31594,0.08,0.34
31595,0.11,0.3
31596,0.36,0.77
31597,0.04,0.63
31598,0.51,0.82
31599,0.44,0.91
31600,0.26,0.53
31601,0.21,0.75
31602,0.01,0.04
31603,0.11,0.37
31604,0.08,0.48
31605,0.17,0.3
31606,0.04,0.22
31607,0.28,0.48
31608,0.2,0.48
31609,0.18,0.36
31610,0.03,0.23
31611,0.12,0.55
31612,0.39,0.47
31613,0.01,0.01
31614,0.02,0.14
31615,0.13,0.36
31616,0.06,0.36
31617,0.22,0.68
31618,0.27,0.52
31619,0.26,0.49
31620,0.1,0.21
31621,0.05,0.14
31622,0.69,0.81
31623,0.14,0.15
31624,0.08,0.09
31625,0.11,0.79
31626,0.4,0.62
31627,0.14,0.22
31628,0.08,0.64
31629,0.41,0.47
31630,0.15,0.86
31631,0.22,0.17
31632,0.42,0.46
31633,0.11,0.21
31634,0.04,0.52
31635,0.22,0.2
31636,0.53,0.62
31637,0.08,0.21
31638,0.59,0.69
31639,0.57,0.88
31640,0.08,0.18
31641,0.86,0.92
31642,0.25,0.87
31643,0.3,0.28
31644,0.25,0.62
31645,0.03,0.08
31646,0.19,0.5
31647,0.3,0.83
31648,0.21,0.46
31649,0.29,0.74
31650,0.44,0.46
31651,0.53,0.78
31652,0.88,0.89
31653,0.2,0.29
31654,0.05,0.23
31655,0.09,0.17
31656,0.14,0.57
31657,0.12,0.47
31658,0.05,0.22
31659,0.01,0.81
31660,0.85,0.88
31661,0.46,0.89
31662,0.21,0.21
31663,0.58,0.73
31664,0.63,0.9
31665,0.12,0.86
31666,0.2,0.58
31667,0.13,0.25
31668,0.09,0.16
31669,0.08,0.26
31670,0.32,0.85
31671,0.02,0.39
31672,0.1,0.13
31673,0.21,0.6
31674,0.22,0.72
31675,0.49,0.64
31676,0.03,0.22
31677,0.06,0.37
31678,0.76,0.96
31679,0.3,0.74
31680,0.02,0.89
31681,0.08,0.15
31682,0.04,0.59
31683,0.07,0.11
31684,0.02,0.12
31685,0.37,0.53
31686,0.24,0.18
31687,0.04,0.6
31688,0.02,0.09
31689,0.19,0.77
31690,0.09,0.4
31691,0.06,0.7
31692,0.03,0.37
31693,0.07,0.37
31694,0.17,0.79
31695,0.36,0.47
31696,0.2,0.39
31697,0.39,0.72
31698,0.2,0.05
31699,0.18,0.72
31700,0.13,0.56
31701,0.3,0.84
31702,0.09,0.82
31703,0.01,0.11
31704,0.68,0.74
31705,0.37,0.5
31706,0.31,0.66
31707,0.51,0.8
31708,0.23,0.7
31709,0.76,0.75
31710,0.24,0.69
31711,0.27,0.58
31712,0.19,0.68
31713,0.05,0.18
31714,0.04,0.39
31715,0.68,0.84
31716,0.03,0.23
31717,0.27,0.65
31718,0.1,0.43
31719,0.08,0.42
31720,0.29,0.73
31721,0.01,0.07
31722,0.2,0.88
31723,0.29,0.36
31724,0.31,0.44
31725,0.01,0.04
31726,0.01,0.26
31727,0.13,0.48
31728,0.06,0.73
31729,0.35,0.42
31730,0.66,0.86
31731,0.05,0.14
31732,0.32,0.53
31733,0.3,0.71
31734,0.1,0.34
31735,0.23,0.6
31736,0.06,0.29
31737,0.28,0.2
31738,0.26,0.39
31739,0.2,0.93
31740,0.38,0.56
31741,0.07,0.33
31742,0.3,0.85
31743,0.11,0.37
31744,0.45,0.49
31745,0.02,0.41
31746,0.09,0.18
31747,0.05,0.48
31748,0.05,0.14
31749,0.08,0.73
31750,0.23,0.47
31751,0.09,0.1
31752,0.02,0.1
31753,0.06,0.9
31754,0.23,0.72
31755,0.02,0.09
31756,0.36,0.84
31757,0.46,0.68
31758,0.79,0.86
31759,0.09,0.14
31760,0.11,0.2
31761,0.12,0.4
31762,0.16,0.34
31763,0.7,0.6
31764,0.07,0.44
31765,0.37,0.71
31766,0.28,0.31
31767,0.28,0.75
31768,0.02,0.09
31769,0.02,0.04
31770,0.23,0.58
31771,0.34,0.56
31772,0.05,0.69
31773,0.08,0.34
31774,0.09,0.44
31775,0.27,0.95
31776,0.46,0.79
31777,0.04,0.15
31778,0,0.21
31779,0.05,0.11
31780,0.07,0.46
31781,0.05,0.14
31782,0.05,0.36
31783,0.27,0.34
31784,0.02,0.17
31785,0.19,0.24
31786,0.14,0.07
31787,0.1,0.27
31788,0.17,0.49
31789,0.08,0.5
31790,0.13,0.24
31791,0.06,0.21
31792,0.12,0.44
31793,0.07,0.2
31794,0.06,0.66
31795,0.07,0.19
31796,0.38,0.37
31797,0.2,0.57
31798,0.17,0.69
31799,0.03,0.03
31800,0.32,0.41
31801,0.73,0.79
31802,0.58,0.82
31803,0.16,0.88
31804,0.03,0.09
31805,0.11,0.18
31806,0.23,0.09
31807,0.62,0.65
31808,0.08,0.79
31809,0.35,0.38
31810,0.04,0.12
31811,0.73,0.25
31812,0.21,0.92
31813,0.12,0.58
31814,0.18,0.48
31815,0.29,0.36
31816,0.09,0.64
31817,0.04,0.1
31818,0.72,0.78
31819,0.05,0.12
31820,0.23,0.24
31821,0.12,0.12
31822,0.51,0.71
31823,0.35,0.55
31824,0.37,0.87
31825,0.27,0.45
31826,0.2,0.67
31827,0.45,0.33
31828,0.35,0.46
31829,0.02,0.07
31830,0.34,0.37
31831,0.13,0.78
31832,0.26,0.67
31833,0.15,0.54
31834,0.23,0.43
31835,0.03,0.27
31836,0.03,0.07
31837,0.73,0.86
31838,0.5,0.73
31839,0.06,0.22
31840,0.11,0.19
31841,0.08,0.18
31842,0.2,0.27
31843,0.7,0.82
31844,0.04,0.75
31845,0.49,0.66
31846,0.32,0.84
31847,0.04,0.63
31848,0.04,0.21
31849,0.04,0.14
31850,0.06,0.13
31851,0.06,0.16
31852,0.27,0.43
31853,0.65,0.82
31854,0.56,0.95
31855,0.76,0.92
31856,0.08,0.15
31857,0.11,0.81
31858,0.2,0.4
31859,0.21,0.68
31860,0.4,0.62
31861,0.05,0.17
31862,0.02,0.1
31863,0.15,0.69
31864,0.2,0.51
31865,0.19,0.65
31866,0.19,0.23
31867,0.08,0.53
31868,0.09,0.13
31869,0,0.14
31870,0.02,0.1
31871,0.68,0.91
31872,0.04,0.29
31873,0.05,0.25
31874,0.11,0.21
31875,0.35,0.48
31876,0.05,0.21
31877,0.07,0.08
31878,0.04,0.87
31879,0.1,0.53
31880,0.01,0.1
31881,0.37,0.38
31882,0.04,0.13
31883,0.28,0.4
31884,0.01,0.14
31885,0.38,0.77
31886,0.08,0.23
31887,0.21,0.22
31888,0,0.32
31889,0.22,0.82
31890,0.23,0.41
31891,0.02,0.06
31892,0.63,0.79
31893,0.08,0.6
31894,0.32,0.81
31895,0.08,0.11
31896,0.24,0.63
31897,0.33,0.8
31898,0.13,0.12
31899,0.61,0.77
31900,0.53,0.41
31901,0.19,0.47
31902,0.19,0.25
31903,0.39,0.53
31904,0.05,0.11
31905,0.07,0.15
31906,0.01,0.22
31907,0.12,0.69
31908,0.03,0.04
31909,0.21,0.47
31910,0.03,0.62
31911,0.11,0.95
31912,0.19,0.63
31913,0.05,0.49
31914,0.16,0.81
31915,0.25,0.72
31916,0.08,0.74
31917,0.32,0.29
31918,0.33,0.89
31919,0.48,0.46
31920,0.02,0.89
31921,0.03,0.55
31922,0.03,0.18
31923,0.13,0.25
31924,0.23,0.28
31925,0.06,0.84
31926,0.01,0.06
31927,0.13,0.32
31928,0.41,0.86
31929,0.12,0.22
31930,0.27,0.46
31931,0.14,0.73
31932,0.1,0.27
31933,0.35,0.18
31934,0.15,0.29
31935,0.64,0.93
31936,0.11,0.39
31937,0.13,0.36
31938,0.22,0.52
31939,0.05,0.07
31940,0.18,0.18
31941,0.04,0.47
31942,0.03,0.03
31943,0.05,0.24
31944,0.2,0.76
31945,0.41,0.54
31946,0.25,0.33
31947,0.05,0.15
31948,0.18,0.88
31949,0.03,0.27
31950,0.04,0.15
31951,0.26,0.36
31952,0.14,0.44
31953,0,0.36
31954,0.58,0.85
31955,0.01,0.23
31956,0.2,0.23
31957,0.33,0.64
31958,0.02,0.06
31959,0.01,0.08
31960,0.03,0.37
31961,0.01,0.1
31962,0.26,0.51
31963,0.45,0.83
31964,0.04,0.06
31965,0.08,0.86
31966,0.04,0.18
31967,0.02,0.1
31968,0.29,0.39
31969,0.08,0.52
31970,0.32,0.41
31971,0.06,0.42
31972,0.21,0.33
31973,0.04,0.15
31974,0.02,0.06
31975,0.08,0.05
31976,0.13,0.24
31977,0.03,0.06
31978,0.42,0.65
31979,0.02,0.2
31980,0.13,0.73
31981,0.19,0.35
31982,0.12,0.15
31983,0.31,0.48
31984,0.05,0.1
31985,0.05,0.13
31986,0.43,0.88
31987,0.04,0.48
31988,0.62,0.73
31989,0.26,0.87
31990,0.02,0.95
31991,0.52,0.56
31992,0.25,0.23
31993,0.43,0.42
31994,0.13,0.21
31995,0.34,0.43
31996,0.08,0.19
31997,0.08,0.87
31998,0.02,0.33
31999,0.01,0.15
32000,0.12,0.91
32001,0.06,0.47
32002,0.48,0.64
32003,0.17,0.45
32004,0.61,0.83
32005,0.02,0.09
32006,0.11,0.64
32007,0.5,0.87
32008,0.04,0.05
32009,0.03,0.19
32010,0.16,0.47
32011,0.16,0.94
32012,0.09,0.78
32013,0.27,0.88
32014,0.12,0.36
32015,0.19,0.41
32016,0.61,0.7
32017,0.02,0.16
32018,0.15,0.09
32019,0.25,0.41
32020,0.68,0.71
32021,0.16,0.26
32022,0.17,0.36
32023,0.08,0.74
32024,0.19,0.42
32025,0.25,0.47
32026,0.44,0.63
32027,0.01,0.83
32028,0.52,0.67
32029,0,0.08
32030,0.15,0.37
32031,0.03,0.1
32032,0.43,0.41
32033,0.02,0.13
32034,0.19,0.61
32035,0.07,0.07
32036,0.52,0.9
32037,0.13,0.64
32038,0.33,0.78
32039,0.39,0.36
32040,0.15,0.79
32041,0.55,0.93
32042,0.19,0.6
32043,0.45,0.69
32044,0.02,0.19
32045,0.14,0.9
32046,0.1,0.36
32047,0.87,0.84
32048,0.04,0.44
32049,0.06,0.11
32050,0.56,0.74
32051,0.06,0.54
32052,0.65,0.77
32053,0.06,0.04
32054,0.19,0.44
32055,0.01,0.2
32056,0.19,0.42
32057,0.07,0.07
32058,0.07,0.2
32059,0.22,0.62
32060,0.07,0.86
32061,0.26,0.09
32062,0.15,0.25
32063,0.1,0.54
32064,0.14,0.27
32065,0.09,0.37
32066,0.06,0.23
32067,0.06,0.12
32068,0.09,0.15
32069,0.62,0.9
32070,0.77,0.94
32071,0.64,0.72
32072,0.73,0.89
32073,0.06,0.07
32074,0.01,0.35
32075,0.04,0.11
32076,0.05,0.78
32077,0.1,0.41
32078,0.03,0.09
32079,0.02,0.11
32080,0.03,0.16
32081,0.44,0.77
32082,0.03,0.1
32083,0.07,0.18
32084,0.07,0.48
32085,0.09,0.68
32086,0.76,0.87
32087,0.05,0.87
32088,0.06,0.72
32089,0.38,0.69
32090,0.07,0.57
32091,0.47,0.37
32092,0.28,0.59
32093,0.03,0.21
32094,0.07,0.31
32095,0.68,0.78
32096,0.3,0.88
32097,0.4,0.43
32098,0.09,0.16
32099,0.19,0.32
32100,0.09,0.28
32101,0.28,0.58
32102,0.06,0.24
32103,0.08,0.46
32104,0.06,0.49
32105,0.06,0.86
32106,0.34,0.48
32107,0.07,0.26
32108,0.21,0.29
32109,0.02,0.25
32110,0.04,0.31
32111,0.34,0.53
32112,0.8,0.74
32113,0.1,0.41
32114,0.51,0.63
32115,0.04,0.16
32116,0.08,0.16
32117,0.4,0.81
32118,0.03,0.55
32119,0.47,0.79
32120,0.34,0.75
32121,0.5,0.62
32122,0.06,0.68
32123,0.05,0.35
32124,0.18,0.98
32125,0.04,0.14
32126,0.42,0.81
32127,0.35,0.4
32128,0.5,0.67
32129,0.26,0.22
32130,0.31,0.46
32131,0.93,0.96
32132,0.05,0.87
32133,0,0.08
32134,0.1,0.92
32135,0.28,0.5
32136,0.24,0.3
32137,0.09,0.61
32138,0.27,0.68
32139,0.1,0.11
32140,0.4,0.19
32141,0.14,0.3
32142,0.14,0.81
32143,0.11,0.46
32144,0.28,0.3
32145,0.07,0.18
32146,0.17,0.2
32147,0.01,0.2
32148,0.75,0.81
32149,0.08,0.62
32150,0.08,0.79
32151,0.06,0.06
32152,0.05,0.67
32153,0.14,0.4
32154,0,0.1
32155,0.07,0.45
32156,0.08,0.11
32157,0,0.1
32158,0.03,0.71
32159,0.83,0.91
32160,0.23,0.21
32161,0.35,0.23
32162,0.05,0.25
32163,0.13,0.36
32164,0.23,0.2
32165,0.39,0.67
32166,0.17,0.26
32167,0.22,0.49
32168,0.1,0.19
32169,0.14,0.32
32170,0.57,0.73
32171,0.06,0.54
32172,0.77,0.93
32173,0.22,0.46
32174,0.22,0.24
32175,0.3,0.92
32176,0.5,0.82
32177,0.27,0.59
32178,0.01,0.11
32179,0.2,0.55
32180,0.04,0.32
32181,0.15,0.31
32182,0.2,0.43
32183,0.39,0.97
32184,0.2,0.25
32185,0.31,0.42
32186,0.22,0.38
32187,0.26,0.58
32188,0.45,0.46
32189,0.39,0.78
32190,0.38,0.71
32191,0.06,0.17
32192,0.06,0.31
32193,0.03,0.43
32194,0.02,0.06
32195,0.01,0.23
32196,0.69,0.76
32197,0.03,0.04
32198,0.27,0.5
32199,0.61,0.89
32200,0.21,0.32
32201,0.15,0.21
32202,0.13,0.88
32203,0.27,0.94
32204,0.29,0.61
32205,0.06,0.72
32206,0.17,0.86
32207,0.62,0.76
32208,0.02,0.19
32209,0.05,0.34
32210,0.13,0.78
32211,0.05,0.05
32212,0.02,0.35
32213,0.09,0.13
32214,0.05,0.14
32215,0.28,0.33
32216,0.79,0.84
32217,0.02,0.15
32218,0.22,0.82
32219,0.12,0.23
32220,0.45,0.75
32221,0.43,0.65
32222,0.01,0.11
32223,0.33,0.73
32224,0.46,0.69
32225,0.25,0.4
32226,0.49,0.8
32227,0.07,0.26
32228,0.73,0.74
32229,0.07,0.27
32230,0.1,0.14
32231,0.64,0.82
32232,0.23,0.56
32233,0.17,0.53
32234,0.04,0.44
32235,0.24,0.8
32236,0.07,0.97
32237,0.9,0.95
32238,0.05,0.07
32239,0.01,0.07
32240,0.2,0.41
32241,0.73,0.73
32242,0.02,0.33
32243,0.14,0.31
32244,0.03,0.14
32245,0.12,0.64
32246,0.25,0.6
32247,0.05,0.66
32248,0.44,0.71
32249,0.11,0.28
32250,0.08,0.32
32251,0.42,0.28
32252,0.38,0.51
32253,0.16,0.28
32254,0.09,0.11
32255,0.2,0.57
32256,0.13,0.38
32257,0.09,0.58
32258,0.01,0.06
32259,0.09,0.7
32260,0.04,0.27
32261,0.17,0.44
32262,0.13,0.11
32263,0.02,0.46
32264,0.06,0.27
32265,0.47,0.72
32266,0.09,0.47
32267,0.02,0.16
32268,0.05,0.19
32269,0.4,0.61
32270,0.54,0.77
32271,0.48,0.74
32272,0.14,0.47
32273,0.24,0.41
32274,0.47,0.75
32275,0.06,0.77
32276,0.24,0.14
32277,0.19,0.29
32278,0.13,0.46
32279,0.08,0.08
32280,0.25,0.15
32281,0.79,0.9
32282,0.04,0.12
32283,0.11,0.61
32284,0.77,0.83
32285,0.26,0.46
32286,0.15,0.5
32287,0.06,0.46
32288,0.3,0.64
32289,0.7,0.94
32290,0.01,0.08
32291,0.16,0.29
32292,0.22,0.35
32293,0.49,0.88
32294,0.12,0.41
32295,0.04,0.25
32296,0.16,0.66
32297,0.45,0.76
32298,0.03,0.07
32299,0.11,0.16
32300,0.02,0.11
32301,0.18,0.53
32302,0.07,0.19
32303,0.22,0.25
32304,0.09,0.39
32305,0.1,0.39
32306,0.58,0.78
32307,0.17,0.39
32308,0.23,0.64
32309,0.37,0.64
32310,0.24,0.6
32311,0.05,0.35
32312,0.42,0.5
32313,0.12,0.23
32314,0.04,0.42
32315,0.1,0.15
32316,0.16,0.9
32317,0.07,0.48
32318,0.07,0.47
32319,0.19,0.88
32320,0.01,0.03
32321,0.28,0.48
32322,0.13,0.4
32323,0.81,0.81
32324,0.08,0.56
32325,0.19,0.3
32326,0.15,0.17
32327,0.01,0.07
32328,0.09,0.19
32329,0.09,0.73
32330,0.1,0.62
32331,0.2,0.71
32332,0.03,0.16
32333,0.02,0.07
32334,0.18,0.33
32335,0.01,0.26
32336,0.04,0.31
32337,0.21,0.24
32338,0.13,0.4
32339,0.49,0.47
32340,0.23,0.59
32341,0.22,0.37
32342,0.07,0.6
32343,0.66,0.96
32344,0.62,0.89
32345,0.05,0.24
32346,0.03,0.11
32347,0.26,0.71
32348,0.08,0.83
32349,0.48,0.65
32350,0.13,0.58
32351,0.39,0.6
32352,0,0.05
32353,0.09,0.16
32354,0.17,0.45
32355,0.08,0.56
32356,0.05,0.34
32357,0.55,0.63
32358,0.36,0.91
32359,0.28,0.58
32360,0.51,0.81
32361,0.01,0.82
32362,0.15,0.49
32363,0.13,0.9
32364,0.13,0.1
32365,0.04,0.29
32366,0.08,0.31
32367,0.35,0.8
32368,0.15,0.72
32369,0.11,0.52
32370,0.01,0.36
32371,0.14,0.29
32372,0.05,0.07
32373,0.09,0.32
32374,0.38,0.57
32375,0.1,0.58
32376,0.06,0.14
32377,0.09,0.6
32378,0.08,0.56
32379,0.13,0.46
32380,0.12,0.58
32381,0.02,0.27
32382,0.21,0.45
32383,0.38,0.71
32384,0.09,0.24
32385,0.06,0.2
32386,0.07,0.62
32387,0.34,0.4
32388,0.2,0.27
32389,0.04,0.11
32390,0.07,0.49
32391,0.26,0.71
